numberFlight,timeDeparture,timeArrival,cityDeparture,cityArrival,'Air Malta',price,TODAY
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,57.53,2019-11-19
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-11-19
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-19
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-20
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,77.53,2019-11-20
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-20
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-21
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-21
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-21
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-22
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-22
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-22
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-23
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-23
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-23
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-24
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-24
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-24
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-25
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-25
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-25
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-26
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-26
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-26
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-27
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-27
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-27
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,41.53,2019-11-28
KM 100,2020-01-15 07:55:00,2020-01-15 10:25:00,MLA,LHR,Air Malta,53.53,2019-11-28
KM 612,2020-01-15 07:55:00,2020-01-15 09:20:00,MLA,FCO,Air Malta,40.53,2019-11-28
KM 478,2020-01-15 06:15:00,2020-01-15 09:10:00,MLA,CDG,Air Malta,46.53,2019-11-29
